iter	Passed	Remaining
1379	130144	152778
1380	130248	152695
1381	130346	152605
1382	130427	152495
1383	130521	152400
1384	130602	152291
1385	130702	152203
1386	130790	152101
1387	130885	152008
1388	130988	151924
1389	131112	151863
1390	131204	151767
1391	131296	151669
1392	131389	151573
1393	131484	151480
1394	131572	151379
1395	131673	151292
1396	131758	151187
1397	131849	151089
1398	131951	151003
1399	132037	150899
1400	132139	150814
1401	132237	150724
1402	132323	150620
1403	132426	150535
1404	132509	150429
1405	132601	150332
1406	132690	150232
1407	132771	150122
1408	132860	150022
1409	132975	149950
1410	133085	149874
1411	133200	149802
1412	133286	149699
1413	133386	149611
1414	133476	149512
1415	133575	149423
1416	133686	149347
1417	133773	149245
1418	133869	149153
1419	133969	149064
1420	134064	148971
1421	134162	148880
1422	134251	148780
1423	134330	148669
1424	134433	148583
1425	134527	148489
1426	134615	148388
1427	134704	148288
1428	134799	148194
1429	134892	148098
1430	134976	147993
1431	135057	147883
1432	135142	147780
1433	135229	147676
1434	135311	147570
1435	135392	147460
1436	135487	147367
1437	135578	147269
1438	135658	147159
1439	135756	147069
1440	135840	146964
1441	135925	146859
1442	136017	146763
1443	136118	146675
1444	136232	146603
1445	136315	146496
1446	136399	146391
1447	136502	146307
1448	136611	146228
1449	136703	146131
1450	136783	146021
1451	136860	145909
1452	136953	145813
1453	137034	145705
1454	137132	145614
1455	137217	145511
1456	137299	145403
1457	137380	145295
1458	137477	145204
1459	137561	145098
1460	137662	145012
1461	137763	144925
1462	137859	144832
1463	137957	144742
1464	138060	144657
1465	138142	144550
1466	138240	144460
1467	138345	144377
1468	138442	144285
1469	138533	144187
1470	138624	144089
1471	138707	143984
1472	138807	143895
1473	138899	143800
1474	138977	143688
1475	139057	143580
1476	139138	143472
1477	139232	143377
1478	139325	143282
1479	139419	143187
1480	139513	143093
1481	139618	143009
1482	139707	142910
1483	139792	142806
1484	139879	142705
1485	139988	142625
1486	140086	142535
1487	140185	142446
1488	140281	142354
1489	140359	142243
1490	140453	142149
1491	140551	142058
1492	140657	141976
1493	140763	141893
1494	140870	141812
1495	140950	141704
1496	141052	141617
1497	141156	141533
1498	141243	141431
1499	141335	141335
1500	141426	141238
1501	141520	141143
1502	141618	141052
1503	141706	140952
1504	141801	140859
1505	141898	140767
1506	141976	140657
1507	142057	140549
1508	142150	140455
1509	142244	140360
1510	142337	140264
1511	142419	140158
1512	142505	140056
1513	142601	139964
1514	142696	139870
1515	142804	139790
1516	142906	139703
1517	143008	139617
1518	143112	139532
1519	143196	139427
1520	143279	139322
1521	143372	139228
1522	143476	139142
1523	143572	139050
1524	143665	138955
1525	143750	138851
1526	143850	138763
1527	143947	138671
1528	144040	138576
1529	144127	138475
1530	144210	138370
